latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
35.723926,-78.411037,015,035,1902,5084,2025-01-24,1547,L9,M,D
35.723935,-78.410705,015,035,1903,5084,2025-01-24,1547,L9,H,D
35.724196,-78.411048,015,035,1902,5083,2025-01-24,1547,L9,H,D
35.724205,-78.410717,015,035,1903,5083,2025-01-24,1547,L9,H,D
35.724466,-78.41106,015,035,1902,5082,2025-01-24,1547,L9,H,D
35.724475,-78.410728,015,035,1903,5082,2025-01-24,1547,L9,H,D
35.726095,-78.410798,015,035,1903,5076,2025-01-24,1547,L9,M,D
35.726356,-78.41114,015,035,1902,5075,2025-01-24,1547,L9,H,D
35.726365,-78.410809,015,035,1903,5075,2025-01-24,1547,L9,H,D
35.726375,-78.410478,015,035,1904,5075,2025-01-24,1547,L9,H,D
35.726626,-78.411152,015,035,1902,5074,2025-01-24,1547,L9,H,D
35.726635,-78.410821,015,035,1903,5074,2025-01-24,1547,L9,H,D
